term,variant,Lemma_1,Lemma_2,source,same_as:National_Library_of_Poland,same_as:Wikidata
noc amerykańska,,noc amerykański,,Słownik pojęć i tekstów kultury,,
noël,,noël,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
noels,,noels,,Słownik Terminów Literackich (Głowiński),,
noemat,,noemat,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
noeza,,noezy,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
nokturn,,nokturn,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810548319505606,
nom de guerre,,nom de guerre,,Słownik terminów literackich (Sierotwiński),,
nomen nescio,,nomen nescio,,Słownik terminów literackich (Sierotwiński),,
nomenklatura,,nomenklatura,,Słownik Terminów Literackich (Głowiński) | Słownik pojęć i tekstów kultury,,
nominał,,nominał,,Słownik terminów literackich (Sierotwiński),,
nomos,,nomos,,Słownik Terminów Literackich (Głowiński),,
nomotetyczna nauka,,nomotetyczny nauka,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
nomotetyzm,,nomotetyzm,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
nonparel,,nonparel,,Słownik Terminów Literackich (Głowiński),,
nonsens,,nonsens,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik pojęć i tekstów kultury,,
nonsense verse,,nonsense verse,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
nonsensy nobilitowane,,nonsens nobilitować,,Słownik pojęć i tekstów kultury,,
norito,,norito,,Słownik Terminów Literackich (Głowiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
norma,,norma,,Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
norma estetyczna,,norma estetyczny,,Słownik Terminów Literackich (Głowiński) | Słownik pojęć i tekstów kultury,,
norma intymności,,norma intymność,,Słownik Terminów Literackich (Głowiński),,
norma intymności w liryce,,norma intymność w liryka,,Słownik terminów literackich (Sierotwiński),,
norma językowa,,norma językowy,,Słownik Terminów Literackich (Głowiński),,
norma kompozycyjna,,norma kompozycyjny,,Słownik Terminów Literackich (Głowiński),,
norma literacka,,norma literacki,,Słownik Terminów Literackich (Głowiński),,
norma stylistyczna,,norma stylistyczny,,Słownik Terminów Literackich (Głowiński),,
normatywizm w teorii literatury,,normatywizm w teoria literatura,,Słownik terminów literackich (Sierotwiński),,
normatywna teoria lektury immanentnej,,normatywny teoria lektura immanentny,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
nota,,nota,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
notabene,,notabene,,Słownik terminów literackich (Sierotwiński),,
notacja,,notacja,,Słownik terminów teatralnych (Patrice Pavis),,
notatka prasowa,,notatka prasowy,,Słownik pojęć i tekstów kultury,,
notheticon,,notheticon,,Słownik Terminów Literackich (Głowiński),,
nouveau roman,,nouveau roman,,"Słownik terminów literackich (Sierotwiński) | Słownik kultury postmodernistycznej. Mody, kulty, fascynacje | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Słownik literatury polskiej | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
nouveau théâtre,,nouveau théâtre,,Słownik terminów teatralnych (Patrice Pavis),,
novas,,novas,,Słownik Terminów Literackich (Głowiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
novas rimadas,,novas rimadas,,Słownik Terminów Literackich (Głowiński),,
novel,,novel,,Słownik terminów literackich (Sierotwiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
novel of christian antiquity,bład w lemacie,novel of christian antiquityć,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
novel of school life,,novel of school life,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
novela picaresca,,novela picaresca,,Słownik Terminów Literackich (Głowiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
nowa definicja semiologii,,nowy definicja semiologia,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
nowa fala,,nowy fala,,"Słownik kultury postmodernistycznej. Mody, kulty, fascynacje | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Słownik literatury polskiej",,
nowa krytyka,,nowy krytyk,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski) | Słownik Terminów Literackich (Głowiński) | Słownik pojęć i tekstów kultury",,
nowa powieść,,nowy powieść,,Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik Terminów Literackich (Głowiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
nowa powieść amerykańska,,nowy powieść amerykański,,"Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
nowa rzeczowość,,nowy rzeczowość,,Słownik Terminów Literackich (Głowiński),,
nowatorstwo,,nowatorstwo,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
nowatorstwo w literaturze,,nowatorstwo w literatura,,Słownik terminów literackich (Sierotwiński),,
nowe kino angielskie,,nowy kino angielski,,Słownik pojęć i tekstów kultury,,
nowe perspektywy teorii literatury,,nowy perspektywa teoria literatura,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
nowela,,nowela,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik literatury polskiej | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
nowela antyczna,,nowela antyczny,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
nowela charakteru,,nowela charakter,,Słownik terminów literackich (Sierotwiński),,
nowela filmowa,,nowela filmowy,,Słownik terminów literackich (Sierotwiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Słownik pojęć i tekstów kultury,,
nowela staropolska,,nowela staropolski,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
nowela w odcinkach,,nowela w odcinek,,Słownik terminów literackich (Sierotwiński),,
nowiny,nowiny,nowina,,Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Słownik literatury polskiej | Słownik literatury staropolskiej,,
nowoczesność,,nowoczesność,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
nowomowa,,nowomowa,,"Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich",,
noworocznik,,noworocznik,,Słownik literatury polskiej | Słownik terminów literackich (Sierotwiński),,
nowotwór językowy,,nowotwór językowy,,Słownik terminów literackich (Sierotwiński),,
nowy historyzm,,nowy historyzm,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski) | Słownik Terminów Literackich (Głowiński)",http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810662181605606,http://www.wikidata.org/entity/Q1550812
nowy testament,,nowy testament,,"Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia",,
nó,,nó,,Słownik Terminów Literackich (Głowiński),,
numeri,,numeri,,Słownik Terminów Literackich (Głowiński),,
numerus,,numerus,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
numerus currens,,numerus currens,,Słownik terminów literackich (Sierotwiński),,
numerus oratorius,,numerus oratorius,,Słownik Terminów Literackich (Głowiński),,
nursery rhymes,,nurser rhymes,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
obciążenie toku,,obciążyć tok,,Słownik terminów literackich (Sierotwiński),,
obciążenie toku pozametryczne,,obciążyć tok pozametryczny,,Słownik terminów literackich (Sierotwiński),,
oberek,,oberek,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
oberiu,,oberiu,,Słownik Terminów Literackich (Głowiński),,
obiegi literatury,,obieg literatura,,Słownik Terminów Literackich (Głowiński) | Słownik pojęć i tekstów kultury,,
obiektywizm,,obiektywizm,,Słownik terminów literackich (Sierotwiński),,
obiektywny korelat,,obiektywny korelat,,Słownik Terminów Literackich (Głowiński),,
obiurgatio,,obiurgatio,,Słownik Terminów Literackich (Głowiński),,
objaśnianie marzenia sennego,,objaśniać marzenie senny,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
objaw,,objaw,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
obozowa literatura,,obozowy literatura,,Słownik Terminów Literackich (Głowiński) | Słownik literatury polskiej | Epoki literackie. Wielki leksykon literatury polskiej,,
obrachunkowa,,obrachunkowy,,Słownik Terminów Literackich (Głowiński),,
obrachunkowa literatura,,obrachunkowy literatura,,Słownik Terminów Literackich (Głowiński) | Słownik literatury polskiej,,
obrana ćeskegojazyka,,obrać ćeskegojazyka,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
obraz,,obraza,,Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Słownik literatury polskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis),,
obraz alegoryczny,,obraz alegoryczny,,Słownik terminów literackich (Sierotwiński),,
obraz autora,,obraz autor,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
obraz literacki,,obraz literacki,,Od teorii do literatury. Słownik literacki | Słownik terminów literackich (Sierotwiński),,
obraz sceniczny,,obraz sceniczny,,Słownik terminów teatralnych (Patrice Pavis),,
obraz w filmie,,obraz w film,,Słownik pojęć i tekstów kultury,,
obrazek,,obrazek,,"Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Słownik literatury polskiej | Słownik polskiej krytyki literackiej 1764-1918 | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810609011205606,http://www.wikidata.org/entity/Q50395012
obrazek liryczny,,obrazek liryczny,,Słownik terminów literackich (Sierotwiński),,
obrazek rodzajowy,,obrazek rodzajowy,,"Słownik terminów literackich (Sierotwiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia",,
obrazek sceniczny,,obrazek sceniczny,,Słownik terminów literackich (Sierotwiński),,
obsada,,obsada,,Słownik terminów teatralnych (Patrice Pavis),,
obscena,,obscena,,Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik pojęć i tekstów kultury,,
obscoena,,obscoena,,Słownik terminów literackich (Sierotwiński),,
obsecratio,,obsecratio,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
obszar współdżwięcznoścl z,,obszar współdżwięcznoścl z,,Słownik terminów literackich (Sierotwiński),,
obwoluta,,obwoluta,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
oczekiwanie,,oczekiwać,,Słownik terminów literackich (Sierotwiński) | Słownik terminów teatralnych (Patrice Pavis),,
oczerk,,oczerk,,Słownik Terminów Literackich (Głowiński),,
oczyszczenie,błąd w lemacie,oczyszczeć,,Słownik terminów literackich (Sierotwiński),,
od epistemologii do hermeneutyki,,od epistemologia do hermeneutyka,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
oda,,oda,,"Słownik terminów literackich (Sierotwiński) | Epoki literackie. Wielki leksykon literatury polskiej | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik literatury polskiej | Słownik polskiej krytyki literackiej 1764-1918 | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810605319505606,http://www.wikidata.org/entity/Q178985
oda anakreontyczna,,oda anakreontyczny,,Słownik terminów literackich (Sierotwiński),,
oda bohaterska,,oda bohaterski,,Słownik terminów literackich (Sierotwiński),,
oda filozoficzna,,oda filozoficzny,,Słownik terminów literackich (Sierotwiński),,
oda pasterska,,oda pasterski,,Słownik terminów literackich (Sierotwiński),,
oda pindaryczna,,oda pindaryczny,,Słownik terminów literackich (Sierotwiński),,
odbicie rzeczywistości,,odbić rzeczywistość,,Słownik terminów literackich (Sierotwiński) | Słownik terminów teatralnych (Patrice Pavis),,
odbiorca,,odbiorca,,"Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Mały słownik terminów teorii tekstu | Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski) | Słownik polskiej krytyki literackiej 1764-1918 | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich",,
odbiorca dzieła literackiego,,odbiorca dzieło literacki,,Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki,,
odbiór dzieła literackiego,,odbiór dzieło literacki,,Słownik Terminów Literackich (Głowiński),http://data.bn.org.pl/api/institutions/authorities.json?marc=009+9810689652505606,
odbiór przedstawienia,,odbiór przedstawienie,,Słownik terminów teatralnych (Patrice Pavis),,
odbiór tekstu kultury,,odbiór tekst kultura,,Słownik pojęć i tekstów kultury,,
odbitka,,odbitka,,Słownik terminów literackich (Sierotwiński),,
odcinek metryczny,,odcinek metryczny,,Słownik terminów literackich (Sierotwiński),,
odmiana gatunkowa,,odmiana gatunkowy,,Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje,,
odmiana literacka,,odmiana literacki,,Słownik terminów literackich (Sierotwiński),,
odmiana rodzajowa,,odmiana rodzajowy,,Słownik Terminów Literackich (Głowiński),,
odmiana tekstu,,odmiana tekst,,Słownik Terminów Literackich (Głowiński),,
odmiany literackie mieszane,,odmiana literacki mieszany,,Słownik terminów literackich (Sierotwiński),,
odmienność pisarstwa kobiecego,,odmienność pisarstwo kobiecy,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
odpowiednik rymowy,,odpowiednik rymowy,,Słownik terminów literackich (Sierotwiński),,
odpowiednik rytmiczny,,odpowiednik rytmiczny,,Słownik terminów literackich (Sierotwiński),,
odprężenie komiczne,,odprężenie komiczny,,Słownik terminów teatralnych (Patrice Pavis),,
odpustowa literatura,,odpustowy literatura,,Słownik Terminów Literackich (Głowiński),,
odrodzenie,błąd w lemacie,odrodzyć,,Słownik literatury polskiej | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik pojęć i tekstów kultury,,
odsłona,,odsłona,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
odsyłacz,,odsyłacz,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
odtworzenie,błąd w lemacie,odtworzeć,,Słownik terminów teatralnych (Patrice Pavis),,
odwołanie,,odwołać,,Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
odwrotnia,?,odwrotnie,,Słownik terminów literackich (Sierotwiński),,
odyseja,,odyseja,,Słownik terminów literackich (Sierotwiński),,
oficyna,,oficyna,,Słownik terminów literackich (Sierotwiński),,
ogamy,,ogamy,,Słownik Terminów Literackich (Głowiński),,
ogarnienie,błędny lemat,ogarniena,,Słownik terminów literackich (Sierotwiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje,,
ogród,,ogród,,Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Słownik literatury polskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
ohlas,,ohlas,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
ohrenphilologie,,ohrenphilologie,,Słownik Terminów Literackich (Głowiński),,
okolicznościowa poezja,,okolicznościowy poezja,,Słownik Terminów Literackich (Głowiński),,
okres literacki,,okres literacki,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje,,
okres metryczny,,okres metryczny,,Słownik terminów literackich (Sierotwiński),,
okres retoryczny,,okres retoryczny,,Słownik literatury staropolskiej | Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje,,
okres stylistyczny,,okres stylistyczny,,Słownik terminów literackich (Sierotwiński),,
okresy w literaturze polskiej,,okres w literatura polski,,Słownik terminów literackich (Sierotwiński),,
określenie logiczne,,określenie logiczny,,Słownik terminów literackich (Sierotwiński),,
określenie poetyckie,,określenie poetycki,,Słownik terminów literackich (Sierotwiński),,
określenie rzeczowe,,określenie rzeczowy,,Słownik terminów literackich (Sierotwiński),,
określnik porównawczy,,określnik porównawczy,,Słownik terminów literackich (Sierotwiński),,
oksymoron,,oksymoron,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik egzemplaryczny: 44 środków artystycznego wyrazu | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
oksyton,,oksyton,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
oktametr,,oktametr,,Słownik Terminów Literackich (Głowiński),,
oktawa,,oktawa,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
oktonar,,oktonar,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
oktostych,,oktostych,,Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
old english poetry,,old english poetry,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
omówienie,błędny lemat,omówieć,,Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje,,
onieginowska strofa,,aonieginowski strofa,,Słownik Terminów Literackich (Głowiński),,
oniryczna literatura,,oniryczny literatura,,"Słownik Terminów Literackich (Głowiński) | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia",,
oniryczność,,oniryczność,,Słownik pojęć i tekstów kultury,,
onomastyka,,onomastyka,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
onomastykon,,onomastykon,,Słownik Terminów Literackich (Głowiński),,
onomatopeja,,onomatopeja,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Ilustrowany słownik terminów literackich | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Słownik egzemplaryczny: 44 środków artystycznego wyrazu | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
onomatopeja właściwa,błąd w lemacie,onomatopej właściwy,,Słownik pojęć i tekstów kultury,,
ontologia,,ontologia,,Słownik pojęć i tekstów kultury,,
opera,,opera,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Od aforyzmu do zinu. Gatunki twórczości słownej | Słownik literatury polskiej | Słownik polskiej krytyki literackiej 1764-1918 | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich",,
opera balladowa,,opera balladowa,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
opera buffa,,opera buffa,,"Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
opera buffo,,opera buffo,,Słownik terminów literackich (Sierotwiński),,
opera i teatr,,opera i teatr,,Słownik terminów teatralnych (Patrice Pavis),,
opera komiczna,,opera komiczny,,"Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński) | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
opera mydlana,,opera mydlany,,Słownik pojęć i tekstów kultury,,
opera seria,,oper seria,,"Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
operator kamery,,operator kamera,,Słownik pojęć i tekstów kultury,,
operetka,,operetka,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
opis,,opis,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Słownik Terminów Literackich (Głowiński) | Od teorii do literatury. Słownik literacki | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski) | Słownik literatury polskiej | Słownik literatury staropolskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich",,
opis bibliograficzny,,opis bibliograficzny,,Słownik terminów literackich (Sierotwiński),,
opis ejdetyczny,,opis ejdetyczny,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
opis katalogowy,,opis katalogowy,,Słownik terminów literackich (Sierotwiński),,
opis podróży,,opis podróż,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
opis przedstawienia,,opis przedstawienie,,Słownik terminów teatralnych (Patrice Pavis),,
opis spektaklu,,opis spektakl,,Słownik terminów teatralnych (Patrice Pavis),,
opisanie,,opisanie,,Słownik terminów literackich (Sierotwiński),,
opojaz,,opojaz,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
opowiadanie,,opowiadanie,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik pojęć. Historia literatury, teoria literatury, historia sztuki, filozofia | Od teorii do literatury. Słownik literacki | Od aforyzmu do zinu. Gatunki twórczości słownej | Słownik rodzajów i gatunków literackich (Grzegorz Gazda) | Szkolny słownik wiedzy o literaturze. Pojęcia - problemy - koncepcje | Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski) | Słownik literatury polskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik terminów teatralnych (Patrice Pavis) | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
opowiadanie etiologiczne,,opowiadanie etiologiczny,,Słownik rodzajów i gatunków literackich (Grzegorz Gazda),,
opowiadanie unaoczniające,,opowiadanie unaoczniać,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury,,
opowieść,,opowieść,,"Słownik terminów literackich (Sierotwiński) | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
opowieść alegoryczna,,opowieść alegoryczny,,Słownik terminów literackich (Sierotwiński),,
opowieść biograficzna,,opowieść biograficzny,,Słownik Terminów Literackich (Głowiński),,
opowieść filmowa,,opowieść filmowy,,Słownik terminów literackich (Sierotwiński),,
opowieść makabryczna,,opowieść makabryczny,,Słownik terminów literackich (Sierotwiński),,
opozycja intencji i tekstu,,opozycja intencja i tekst,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
opozycje binarne,,opozycja binarny,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
opóźnienie,,opóźnienie,,Słownik terminów literackich (Sierotwiński),,
opracowywanie zbiorów bibliotecznych,,opracowywać zbiór biblioteczny,,Słownik terminów literackich (Sierotwiński),,
opsis,,opsis,,Słownik terminów teatralnych (Patrice Pavis),,
opunim,,opunim,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
opus citatum,,opus citatum,,Słownik terminów literackich (Sierotwiński),,
opus vitae,,opus vitae,,Słownik Terminów Literackich (Głowiński),,
opuszczenie,błąd w lemacie,opuszczyć,,Słownik terminów literackich (Sierotwiński),,
oratio,,oratio,,Słownik terminów literackich (Sierotwiński),,
oratio obliqua,,oratio obliqua,,Słownik terminów literackich (Sierotwiński),,
oratio perpetua,,oratio perpetuum,,Słownik Terminów Literackich (Głowiński),,
oratio recta,,oratio recta,,Słownik terminów literackich (Sierotwiński),,
oratio soluta,,oratio soluta,,Słownik Terminów Literackich (Głowiński),,
oratio vincta,,oratio vincta,,Słownik Terminów Literackich (Głowiński) | Słownik terminów literackich (Sierotwiński),,
oratorium,,oratorium,,"Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich | Słownik gatunków literackich (Marek Bernacki, Marta Pawlus)",,
oratorstwo,,oratorstwo,,Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Słownik literatury polskiej | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
orchestra,,orchestra,,Słownik Terminów Literackich (Głowiński) | Słownik pojęć i tekstów kultury | Słownik terminów teatralnych (Patrice Pavis),,
ordo artificialis,,orda artificialis,,Słownik Terminów Literackich (Głowiński),,
ordo naturalis,,orda naturalis,,Słownik Terminów Literackich (Głowiński),,
orędzie,,orędzie,,Słownik terminów literackich (Sierotwiński) | Słownik pojęć i tekstów kultury | Słownik Terminów Literackich (Głowiński) | Polsko-czesko-rosyjsko-ukraiński słownik pojęć literackich,,
orient jako inny,,orient jako inny,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
orientacja etyczna feminizmu,,orientacja etyczny feminizm,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
orientacja polityczna feminizmu,,orientacja polityczny feminizm,,"Teorie literatury XX wieku (Anna Burzyńska, Michał Paweł Markowski)",,
